Interpolated X1	Interpolated Y1
0	5.36749
0.025	5.36167
0.05	5.35585
0.075	5.35003
0.1	5.34422
0.125	5.3384
0.15	5.33258
0.175	5.32676
0.2	5.32094
0.225	5.31512
0.25	5.30931
0.275	5.30349
0.3	5.29767
0.325	5.29185
0.35	5.28603
0.375	5.28021
0.4	5.27439
0.425	5.26858
0.45	5.26276
0.475	5.25694
0.5	5.25112
0.525	5.2453
0.55	5.23948
0.575	5.23367
0.6	5.22785
0.625	5.22203
0.65	5.21621
0.675	5.21039
0.7	5.20457
0.725	5.19875
0.75	5.19294
0.775	5.18712
0.8	5.1813
0.825	5.17548
0.85	5.16966
0.875	5.16384
0.9	5.15802
0.925	5.15221
0.95	5.14639
0.975	5.14057
1	5.13475
1.025	5.12893
1.05	5.12311
1.075	5.1173
1.1	5.11148
1.125	5.10566
1.15	5.09984
1.175	5.09402
1.2	5.0882
1.225	5.08238
1.25	5.07657
1.275	5.07075
1.3	5.06493
1.325	5.05911
1.35	5.05329
1.375	5.04747
1.4	5.04166
1.425	5.03584
1.45	5.03002
1.475	5.0242
1.5	5.01838
1.525	5.01256
1.55	5.00674
1.575	5.00093
1.6	4.99511
1.625	4.98929
1.65	4.98347
1.675	4.97765
1.7	4.97183
1.725	4.96601
1.75	4.9602
1.775	4.95438
1.8	4.94856
1.825	4.94274
1.85	4.93692
1.875	4.9311
1.9	4.92529
1.925	4.91947
1.95	4.91365
1.975	4.90783
2	4.90201
2.025	4.89619
2.05	4.89037
2.075	4.88456
2.1	4.87874
2.125	4.87292
2.15	4.8671
2.175	4.86128
2.2	4.85546
2.225	4.84965
2.25	4.84383
2.275	4.83801
2.3	4.83219
2.325	4.82637
2.35	4.82055
2.375	4.81473
2.4	4.80892
2.425	4.8031
2.45	4.79728
2.475	4.79146
2.5	4.78564
2.525	4.77982
2.55	4.774
2.575	4.76819
2.6	4.76237
2.625	4.75655
2.65	4.75073
2.675	4.74491
2.7	4.73909
2.725	4.73328
2.75	4.72746
2.775	4.72164
2.8	4.71582
2.825	4.71
2.85	4.70418
2.875	4.69836
2.9	4.69255
2.925	4.68673
2.95	4.68091
2.975	4.67509
3	4.66927
3.025	4.66345
3.05	4.65764
3.075	4.65182
3.1	4.646
3.125	4.64018
3.15	4.63436
3.175	4.62854
3.2	4.62272
3.225	4.61691
3.25	4.61109
3.275	4.60527
3.3	4.59945
3.325	4.59363
3.35	4.58781
3.375	4.582
3.4	4.57618
3.425	4.57036
3.45	4.56454
3.475	4.55872
3.5	4.5529
3.525	4.54708
3.55	4.54127
3.575	4.53545
3.6	4.52963
3.625	4.52381
3.65	4.51799
3.675	4.51217
3.7	4.50636
3.725	4.50054
3.75	4.49472
3.775	4.4889
3.8	4.48308
3.825	4.47726
3.85	4.47144
3.875	4.46563
3.9	4.45981
3.925	4.45399
3.95	4.44817
3.975	4.44235
4	4.43653
4.025	4.43071
4.05	4.4249
4.075	4.41908
4.1	4.41326
4.125	4.40744
4.15	4.40162
4.175	4.3958
4.2	4.38999
4.225	4.38417
4.25	4.37835
4.275	4.37253
4.3	4.36671
4.325	4.36089
4.35	4.35507
4.375	4.34926
4.4	4.34344
4.425	4.33762
4.45	4.3318
4.475	4.32598
4.5	4.32016
4.525	4.31434
4.55	4.30853
4.575	4.30271
4.6	4.29689
4.625	4.29107
4.65	4.28525
4.675	4.27943
4.7	4.27362
4.725	4.2678
4.75	4.26198
4.775	4.25616
4.8	4.25035
4.825	4.24453
4.85	4.23872
4.875	4.2329
4.9	4.22709
4.925	4.22128
4.95	4.21546
4.975	4.20965
5	4.20384
5.025	4.19802
5.05	4.19221
5.075	4.1864
5.1	4.18058
5.125	4.17477
5.15	4.16897
5.175	4.16316
5.2	4.15736
5.225	4.15155
5.25	4.14575
5.275	4.13994
5.3	4.13414
5.325	4.12834
5.35	4.12254
5.375	4.11674
5.4	4.11094
5.425	4.10514
5.45	4.09934
5.475	4.09354
5.5	4.08774
5.525	4.08194
5.55	4.07614
5.575	4.07034
5.6	4.06454
5.625	4.05875
5.65	4.05296
5.675	4.04717
5.7	4.04138
5.725	4.03559
5.75	4.0298
5.775	4.02401
5.8	4.01823
5.825	4.01244
5.85	4.00666
5.875	4.00087
5.9	3.99509
5.925	3.9893
5.95	3.98352
5.975	3.97774
6	3.97196
6.025	3.96617
6.05	3.96039
6.075	3.95461
6.1	3.94883
6.125	3.94306
6.15	3.93728
6.175	3.93151
6.2	3.92573
6.225	3.91996
6.25	3.91418
6.275	3.90841
6.3	3.90264
6.325	3.89687
6.35	3.8911
6.375	3.88533
6.4	3.87956
6.425	3.87379
6.45	3.86803
6.475	3.86226
6.5	3.85649
6.525	3.85072
6.55	3.84496
6.575	3.83919
6.6	3.83343
6.625	3.82767
6.65	3.8219
6.675	3.81614
6.7	3.81038
6.725	3.80462
6.75	3.79886
6.775	3.7931
6.8	3.78734
6.825	3.78158
6.85	3.77582
6.875	3.77006
6.9	3.7643
6.925	3.75854
6.95	3.75278
6.975	3.74703
7	3.74127
7.025	3.73551
7.05	3.72975
7.075	3.72399
7.1	3.71824
7.125	3.71248
7.15	3.70672
7.175	3.70097
7.2	3.69521
7.225	3.68945
7.25	3.6837
7.275	3.67794
7.3	3.67218
7.325	3.66643
7.35	3.66067
7.375	3.65491
7.4	3.64915
7.425	3.6434
7.45	3.63764
7.475	3.63188
7.5	3.62613
7.525	3.62037
